customer_id,company_name,industry,company_size,maintenance_model,equipment_criticality,annual_revenue_estimated,maintenance_budget_annual,downtime_cost_per_hour,preferred_supplier,relationship_start_date,active,last_updated
C00059,Empresa Industrial 59,Siderurgia,Grande,Interna,Média,3850706401.82,1428823.16,10103.46,True,2005-09-06,True,2026-01-03 20:28:51.537175
C00060,Empresa Industrial 60,Siderurgia,Grande,Mista,Baixa,2566522517.7,2779530.27,32094.49,False,2010-08-23,True,2026-01-03 20:28:51.537203
C00061,Empresa Industrial 61,Alimentos,Grande,Mista,Alta,462281411.74,4670854.27,10353.57,True,2010-12-22,True,2026-01-03 20:28:51.537216
C00062,Empresa Industrial 62,Siderurgia,Pequena,Mista,Média,1817016537.35,3486766.72,24606.59,False,2006-08-17,True,2026-01-03 20:28:51.537229
C00063,Empresa Industrial 63,Energia,Grande,Mista,Baixa,3493957848.31,4548351.45,46439.04,False,2015-09-26,True,2026-01-03 20:28:51.537241
C00064,Empresa Industrial 64,Alimentos,Pequena,Terceirizada,Alta,4978238060.23,838791.37,35680.43,True,2022-12-16,True,2026-01-03 20:28:51.537252
C00065,Empresa Industrial 65,Siderurgia,Pequena,Mista,Média,3047441659.04,898339.36,46112.07,True,2010-04-11,True,2026-01-03 20:28:51.537263
C00066,Empresa Industrial 66,Mineração,Média,Mista,Média,2043795432.28,3521125.42,32023.04,False,2004-07-22,False,2026-01-03 20:28:51.537276
C00067,Empresa Industrial 67,Siderurgia,Grande,Interna,Baixa,4814066971.33,2502747.09,27821.01,True,2021-02-21,False,2026-01-03 20:28:51.537288
C00068,Empresa Industrial 68,Papel e Celulose,Pequena,Interna,Alta,3262070028.65,2222915.67,41474.65,False,2022-03-05,True,2026-01-03 20:28:51.537301
C00069,Empresa Industrial 69,Cimento,Média,Terceirizada,Média,543306675.13,2884024.9,2784.72,False,2024-06-23,True,2026-01-03 20:28:51.537320
C00070,Empresa Industrial 70,Química,Grande,Interna,Baixa,354154332.11,3110804.05,16289.63,True,2015-07-11,True,2026-01-03 20:28:51.537331
C00071,Empresa Industrial 71,Mineração,Pequena,Terceirizada,Baixa,3529333826.14,3205318.28,35033.45,False,2023-12-12,True,2026-01-03 20:28:51.537342
C00072,Empresa Industrial 72,Mineração,Grande,Terceirizada,Baixa,2454720906.87,2013769.89,37306.63,False,2015-12-03,False,2026-01-03 20:28:51.537353
C00073,Empresa Industrial 73,Química,Pequena,Interna,Média,1230625815.76,4543524.08,46718.91,False,2021-03-01,True,2026-01-03 20:28:51.537365
C00074,Empresa Industrial 74,Siderurgia,Grande,Mista,Média,3807398959.17,3932895.99,27170.29,False,2020-08-15,True,2026-01-03 20:28:51.537376
C00075,Empresa Industrial 75,Siderurgia,Média,Mista,Média,192473149.02,4401450.81,7645.56,True,2020-01-10,True,2026-01-03 20:28:51.537389
C00076,Empresa Industrial 76,Química,Pequena,Terceirizada,Baixa,3473995541.69,3519175.8,8882.03,False,2015-05-05,True,2026-01-03 20:28:51.537402
C00077,Empresa Industrial 77,Siderurgia,Média,Interna,Baixa,2966804720.72,420815.3,31585.0,True,2010-01-25,True,2026-01-03 20:28:51.537414
C00078,Empresa Industrial 78,Cimento,Grande,Mista,Baixa,261497282.2,1183169.13,31556.69,True,2016-04-30,True,2026-01-03 20:28:51.537428
C00079,Empresa Industrial 79,Papel e Celulose,Pequena,Terceirizada,Baixa,792126124.99,2481237.54,31710.97,True,2015-03-05,True,2026-01-03 20:28:51.537443
C00080,Empresa Industrial 80,Siderurgia,Grande,Interna,Baixa,450474445.12,283514.4,12334.41,False,2020-07-28,True,2026-01-03 20:28:51.537458
C00081,Empresa Industrial 81,Cimento,Média,Mista,Baixa,4854253163.35,1112969.98,21481.64,True,2022-10-20,True,2026-01-03 20:28:51.537470
C00082,Empresa Industrial 82,Alimentos,Grande,Mista,Alta,2038465686.92,414352.57,14761.76,True,2006-12-20,True,2026-01-03 20:28:51.537482
C00083,Empresa Industrial 83,Química,Média,Terceirizada,Média,3992734512.32,3855130.28,29902.67,False,2020-08-25,True,2026-01-03 20:28:51.537495
C00084,Empresa Industrial 84,Mineração,Grande,Interna,Média,1525965333.65,1391759.27,27509.48,True,2021-09-08,False,2026-01-03 20:28:51.537508
C00085,Empresa Industrial 85,Química,Média,Mista,Média,1895747159.42,2432449.65,24260.17,False,2006-03-16,True,2026-01-03 20:28:51.537520
C00086,Empresa Industrial 86,Papel e Celulose,Grande,Interna,Alta,54428263.23,4117220.11,19149.39,False,2013-01-14,True,2026-01-03 20:28:51.537531
C00087,Empresa Industrial 87,Papel e Celulose,Pequena,Terceirizada,Média,1866152813.38,3417229.09,38547.77,False,2005-01-06,False,2026-01-03 20:28:51.537545
C00088,Empresa Industrial 88,Siderurgia,Grande,Interna,Baixa,4867593182.76,661517.36,33818.62,True,2022-01-24,True,2026-01-03 20:28:51.537590
C00089,Empresa Industrial 89,Química,Grande,Interna,Média,2225649640.22,2739630.97,48706.54,True,2007-07-30,True,2026-01-03 20:28:51.537601
C00090,Empresa Industrial 90,Cimento,Grande,Mista,Alta,4689675460.75,3274571.01,14621.38,True,2021-10-01,False,2026-01-03 20:28:51.537615
C00091,Empresa Industrial 91,Alimentos,Pequena,Terceirizada,Alta,3481131986.8,3645110.4,35396.04,False,2006-12-21,True,2026-01-03 20:28:51.537623
C00092,Empresa Industrial 92,Siderurgia,Grande,Mista,Alta,787894910.9,4791100.98,46689.0,False,2022-02-03,False,2026-01-03 20:28:51.537631
C00093,Empresa Industrial 93,Química,Grande,Interna,Alta,3933704986.46,3227553.21,43168.64,False,2014-01-16,True,2026-01-03 20:28:51.537639
C00094,Empresa Industrial 94,Papel e Celulose,Grande,Mista,Alta,2139506642.55,602661.55,20716.38,True,2018-03-08,True,2026-01-03 20:28:51.537647
C00095,Empresa Industrial 95,Energia,Pequena,Terceirizada,Alta,4533769635.36,679424.46,35685.87,True,2005-08-09,True,2026-01-03 20:28:51.537655
C00096,Empresa Industrial 96,Química,Pequena,Mista,Alta,241819264.72,985917.3,49547.97,False,2015-11-17,True,2026-01-03 20:28:51.537663
C00097,Empresa Industrial 97,Papel e Celulose,Grande,Mista,Baixa,4133143991.02,2757071.39,8259.9,True,2011-04-19,True,2026-01-03 20:28:51.537670
C00098,Empresa Industrial 98,Energia,Média,Interna,Baixa,4253574653.34,1758372.45,28219.25,False,2013-08-19,True,2026-01-03 20:28:51.537678
C00099,Empresa Industrial 99,Alimentos,Pequena,Terceirizada,Alta,260319378.03,388971.87,23280.86,True,2016-11-26,True,2026-01-03 20:28:51.537686
C00100,Empresa Industrial 100,Química,Média,Terceirizada,Baixa,1484363104.62,2638134.61,20965.34,True,2022-10-14,True,2026-01-03 20:28:51.537694
C00101,Empresa Industrial 101,Automotiva,Grande,Interna,Média,2168112649.15,4240517.38,20757.61,True,2008-03-31,True,2026-01-03 20:28:51.537702
C00102,Empresa Industrial 102,Papel e Celulose,Média,Interna,Média,3744309985.74,4982333.95,13841.8,True,2006-01-15,False,2026-01-03 20:28:51.537711
C00103,Empresa Industrial 103,Química,Grande,Interna,Média,4548114418.01,449665.34,7246.66,True,2013-06-01,True,2026-01-03 20:28:51.537719
C00104,Empresa Industrial 104,Mineração,Pequena,Interna,Alta,3682425939.35,1101106.21,3223.86,False,2023-04-11,False,2026-01-03 20:28:51.537727
C00105,Empresa Industrial 105,Alimentos,Grande,Interna,Alta,4409552576.97,706157.56,23636.18,False,2009-09-09,True,2026-01-03 20:28:51.537735
C00106,Empresa Industrial 106,Alimentos,Média,Interna,Média,4565425886.79,4977367.1,6080.1,False,2022-09-22,False,2026-01-03 20:28:51.537743
C00107,Empresa Industrial 107,Mineração,Grande,Terceirizada,Média,3592299550.87,2159868.12,40962.35,False,2011-01-02,True,2026-01-03 20:28:51.537751
C00108,Empresa Industrial 108,Cimento,Média,Terceirizada,Média,3129615294.3,1566231.36,25333.94,False,2014-10-04,True,2026-01-03 20:28:51.537758
C00109,Empresa Industrial 109,Papel e Celulose,Média,Mista,Baixa,773940036.25,3689790.63,43335.72,False,2017-09-23,True,2026-01-03 20:28:51.537766
C00110,Empresa Industrial 110,Mineração,Grande,Terceirizada,Alta,778049590.95,1987113.27,35920.09,True,2014-12-18,True,2026-01-03 20:28:51.537775
C00111,Empresa Industrial 111,Cimento,Média,Interna,Média,3068303860.05,1698702.12,35568.66,False,2008-12-28,True,2026-01-03 20:28:51.537782
C00112,Empresa Industrial 112,Energia,Média,Mista,Alta,3513257258.57,2711900.14,35652.97,False,2019-10-05,True,2026-01-03 20:28:51.537789
C00113,Empresa Industrial 113,Mineração,Média,Mista,Baixa,3354283183.68,1401181.86,44551.32,False,2015-03-19,True,2026-01-03 20:28:51.537797
C00114,Empresa Industrial 114,Energia,Grande,Mista,Baixa,2847607995.55,2696244.59,22762.13,True,2002-11-04,True,2026-01-03 20:28:51.537805
C00115,Empresa Industrial 115,Papel e Celulose,Pequena,Terceirizada,Média,1899581785.63,792796.38,23872.94,False,2013-01-09,True,2026-01-03 20:28:51.537813
C00116,Empresa Industrial 116,Automotiva,Pequena,Interna,Baixa,1545682793.81,3763918.76,43999.76,True,2009-10-15,True,2026-01-03 20:28:51.537821
C00117,Empresa Industrial 117,Alimentos,Média,Interna,Baixa,4787909668.51,3431616.65,25949.64,True,2006-05-18,True,2026-01-03 20:28:51.537828
C00118,Empresa Industrial 118,Química,Pequena,Mista,Média,1690006899.62,4045281.16,26853.17,True,2023-10-02,False,2026-01-03 20:28:51.537835
C00119,Empresa Industrial 119,Cimento,Grande,Terceirizada,Média,1495504671.84,1510637.34,17803.48,False,2009-06-02,True,2026-01-03 20:28:51.537844
C00120,Empresa Industrial 120,Mineração,Média,Mista,Alta,4181695800.55,4126186.97,28456.5,False,2005-05-22,True,2026-01-03 20:28:51.537854
C00121,Empresa Industrial 121,Siderurgia,Pequena,Interna,Alta,1464755191.56,4577493.52,34893.46,True,2008-11-05,True,2026-01-03 20:28:51.537862
C00122,Empresa Industrial 122,Cimento,Média,Terceirizada,Alta,180671433.92,595471.72,46456.48,True,2011-04-12,True,2026-01-03 20:28:51.537871
C00123,Empresa Industrial 123,Automotiva,Pequena,Mista,Baixa,1972939774.78,894651.6,3234.3,False,2010-02-08,True,2026-01-03 20:28:51.537878
C00124,Empresa Industrial 124,Siderurgia,Grande,Mista,Baixa,2179188344.82,4530838.53,37643.33,False,2018-12-13,True,2026-01-03 20:28:51.537887
C00125,Empresa Industrial 125,Automotiva,Grande,Terceirizada,Baixa,3443993665.97,3357497.17,1325.83,True,2019-06-23,True,2026-01-03 20:28:51.537895
C00126,Empresa Industrial 126,Alimentos,Grande,Terceirizada,Alta,4416596363.2,3741856.81,22977.7,True,2024-03-24,False,2026-01-03 20:28:51.537903
C00127,Empresa Industrial 127,Química,Pequena,Interna,Alta,2591041224.75,1745777.22,44928.68,True,2016-08-17,True,2026-01-03 20:28:51.537910
C00128,Empresa Industrial 128,Química,Pequena,Terceirizada,Média,1023296269.99,922602.29,37322.58,True,2001-04-15,True,2026-01-03 20:28:51.537918
C00129,Empresa Industrial 129,Energia,Média,Interna,Média,487921285.96,99826.58,36571.78,False,2007-04-16,True,2026-01-03 20:28:51.537925
C00130,Empresa Industrial 130,Papel e Celulose,Pequena,Mista,Baixa,3838346249.85,4660736.16,12659.14,True,2017-08-27,True,2026-01-03 20:28:51.537935
C00131,Empresa Industrial 131,Cimento,Pequena,Interna,Baixa,2915354798.93,2935101.26,8494.71,True,2002-12-24,True,2026-01-03 20:28:51.537942
C00132,Empresa Industrial 132,Mineração,Grande,Mista,Média,415842025.27,3454734.2,17634.33,False,2024-06-04,True,2026-01-03 20:28:51.537951
C00133,Empresa Industrial 133,Alimentos,Grande,Mista,Alta,3957799859.93,4800210.68,16142.43,False,2005-04-26,True,2026-01-03 20:28:51.537958
C00134,Empresa Industrial 134,Papel e Celulose,Grande,Mista,Alta,890721862.34,822690.36,21406.6,True,2022-07-11,False,2026-01-03 20:28:51.537966
C00135,Empresa Industrial 135,Alimentos,Média,Terceirizada,Baixa,1659110774.76,3387494.55,7682.44,True,2018-05-16,True,2026-01-03 20:28:51.537973
C00136,Empresa Industrial 136,Química,Grande,Interna,Alta,4875317297.9,2845939.77,49250.69,False,2023-03-09,True,2026-01-03 20:28:51.537981
C00137,Empresa Industrial 137,Energia,Pequena,Mista,Média,2031251309.11,2498353.67,44509.0,True,2019-12-26,True,2026-01-03 20:28:51.537989
C00138,Empresa Industrial 138,Energia,Média,Mista,Média,283881199.56,421412.11,33881.66,True,2019-06-25,True,2026-01-03 20:28:51.537998
C00139,Empresa Industrial 139,Mineração,Média,Interna,Alta,2169116227.59,1749652.23,29894.99,False,2000-03-08,False,2026-01-03 20:28:51.538008
C00140,Empresa Industrial 140,Papel e Celulose,Pequena,Mista,Baixa,376098219.24,4445411.05,12022.89,True,2000-07-07,True,2026-01-03 20:28:51.538016
C00141,Empresa Industrial 141,Energia,Pequena,Mista,Alta,393829639.44,1131376.7,45889.39,False,2008-04-25,True,2026-01-03 20:28:51.538025
C00142,Empresa Industrial 142,Química,Pequena,Terceirizada,Alta,3796095990.97,387064.01,20336.51,False,2001-04-26,False,2026-01-03 20:28:51.538034
C00143,Empresa Industrial 143,Alimentos,Grande,Interna,Baixa,2809719044.15,3516023.6,29949.55,True,2013-03-01,True,2026-01-03 20:28:51.538042
C00144,Empresa Industrial 144,Energia,Grande,Interna,Alta,4881114594.39,2904720.61,8398.98,True,2014-11-17,True,2026-01-03 20:28:51.538050
C00145,Empresa Industrial 145,Cimento,Média,Interna,Alta,4209143930.87,481643.02,2904.95,True,2007-04-19,True,2026-01-03 20:28:51.538058
C00146,Empresa Industrial 146,Química,Média,Terceirizada,Alta,4587649655.71,1063030.31,27008.41,True,2021-07-04,True,2026-01-03 20:28:51.538065
C00147,Empresa Industrial 147,Cimento,Média,Interna,Média,3277278703.15,674005.0,13407.96,False,2005-02-20,True,2026-01-03 20:28:51.538074
C00148,Empresa Industrial 148,Química,Média,Interna,Média,3659574920.78,3996552.39,44171.39,False,2022-01-06,True,2026-01-03 20:28:51.538082
C00149,Empresa Industrial 149,Alimentos,Grande,Terceirizada,Baixa,1654027294.87,1891547.66,21890.61,True,2006-12-16,True,2026-01-03 20:28:51.538089
C00150,Empresa Industrial 150,Siderurgia,Pequena,Terceirizada,Baixa,960148309.31,2511706.48,36421.79,True,2003-05-31,True,2026-01-03 20:28:51.538098
C00151,Empresa Industrial 151,Alimentos,Grande,Interna,Média,1914687320.57,826240.79,6814.95,True,2004-09-03,True,2026-01-03 20:28:51.538106
C00152,Empresa Industrial 152,Mineração,Grande,Terceirizada,Baixa,3440046090.84,2963867.05,23496.6,False,2016-08-29,True,2026-01-03 20:28:51.538115
C00153,Empresa Industrial 153,Cimento,Grande,Terceirizada,Baixa,667000346.94,2652394.24,27063.89,False,2020-10-24,False,2026-01-03 20:28:51.538123
C00154,Empresa Industrial 154,Energia,Grande,Terceirizada,Média,1817250757.28,295013.79,17265.36,False,2014-06-12,True,2026-01-03 20:28:51.538131
C00155,Empresa Industrial 155,Química,Pequena,Terceirizada,Média,1698587549.07,1007486.51,11464.94,False,2008-10-14,True,2026-01-03 20:28:51.538139
C00156,Empresa Industrial 156,Papel e Celulose,Pequena,Mista,Média,1604594901.41,628673.8,47856.0,False,2008-07-06,False,2026-01-03 20:28:51.538146
C00157,Empresa Industrial 157,Mineração,Grande,Interna,Alta,4827573988.83,1292751.1,42587.87,True,2007-12-12,True,2026-01-03 20:28:51.538154
C00158,Empresa Industrial 158,Alimentos,Pequena,Terceirizada,Média,2868331698.81,94699.49,27034.87,True,2003-02-27,True,2026-01-03 20:28:51.538162
C00159,Empresa Industrial 159,Energia,Pequena,Mista,Baixa,2859189872.09,637429.52,15651.46,True,2020-02-09,False,2026-01-03 20:28:51.538171
C00160,Empresa Industrial 160,Mineração,Pequena,Mista,Baixa,3414712497.55,1027074.66,37742.22,False,2018-01-29,True,2026-01-03 20:28:51.538179
C00161,Empresa Industrial 161,Siderurgia,Média,Terceirizada,Alta,319765780.7,4502438.91,40027.83,True,2011-07-11,True,2026-01-03 20:28:51.538187
C00162,Empresa Industrial 162,Siderurgia,Grande,Mista,Alta,4739219001.74,2159192.29,21642.72,False,2022-01-05,True,2026-01-03 20:28:51.538195
C00163,Empresa Industrial 163,Automotiva,Pequena,Mista,Média,4520053240.58,4982960.36,9165.03,True,2023-07-31,True,2026-01-03 20:28:51.538203
C00164,Empresa Industrial 164,Automotiva,Grande,Terceirizada,Baixa,3262748143.51,245288.34,1089.48,False,2007-04-23,True,2026-01-03 20:28:51.538211
C00165,Empresa Industrial 165,Automotiva,Grande,Interna,Alta,157114224.15,1204130.36,7548.7,True,2020-10-06,True,2026-01-03 20:28:51.538219
C00166,Empresa Industrial 166,Papel e Celulose,Grande,Mista,Alta,1538325227.35,3447152.39,21718.35,False,2003-12-06,True,2026-01-03 20:28:51.538227
C00167,Empresa Industrial 167,Papel e Celulose,Grande,Interna,Média,2033181680.19,2361191.37,2279.74,False,2021-02-08,True,2026-01-03 20:28:51.538235
C00168,Empresa Industrial 168,Alimentos,Pequena,Mista,Baixa,1907257705.2,1773624.09,42210.93,False,2009-10-30,False,2026-01-03 20:28:51.538242
C00169,Empresa Industrial 169,Mineração,Grande,Mista,Média,2891631911.3,823027.75,32736.88,False,2008-03-05,True,2026-01-03 20:28:51.538250
C00170,Empresa Industrial 170,Papel e Celulose,Pequena,Mista,Média,2542959403.05,4962619.5,6987.66,True,2014-02-17,True,2026-01-03 20:28:51.538258
C00171,Empresa Industrial 171,Mineração,Grande,Terceirizada,Baixa,231665325.63,3183775.99,8859.46,False,2003-08-05,False,2026-01-03 20:28:51.538266
C00172,Empresa Industrial 172,Automotiva,Média,Interna,Alta,4234187593.74,1729471.46,34330.0,True,2013-07-24,True,2026-01-03 20:28:51.538274
C00173,Empresa Industrial 173,Mineração,Pequena,Terceirizada,Média,3127536731.82,2413829.81,31869.53,True,2017-08-09,False,2026-01-03 20:28:51.538294
C00174,Empresa Industrial 174,Siderurgia,Média,Terceirizada,Alta,2247339679.43,1430329.24,12409.67,True,2009-06-24,True,2026-01-03 20:28:51.538304
C00175,Empresa Industrial 175,Papel e Celulose,Grande,Mista,Média,2491557735.0,2043421.68,16957.14,True,2020-11-21,True,2026-01-03 20:28:51.538312
C00176,Empresa Industrial 176,Química,Média,Terceirizada,Alta,1437786112.33,2621687.61,23290.43,True,2014-10-24,True,2026-01-03 20:28:51.538320
